Year,Month,Highest Temperature
1967,Apr,62.84347826086957
1967,Aug,97.00434782608696
1967,Dec,51.34761904761905
1967,Feb,56.61818181818182
1967,Jan,52.42173913043479
1967,Jul,91.44545454545454
1967,Jun,88.14545454545454
1967,Mar,57.02272727272727
1967,May,80.58571428571429
1967,Nov,60.23809523809524
1967,Oct,70.84285714285714
1967,Sep,91.83181818181818
1968,Apr,75.96190476190476
1968,Aug,90.17619047619048
1968,Dec,51.909523809523805
1968,Feb,64.495
1968,Jan,53.77
1968,Jul,94.78095238095239
1968,Jun,86.4090909090909
1968,Mar,66.64500000000001
1968,May,79.14500000000001
1968,Nov,54.88636363636363
1968,Oct,71.62727272727273
1968,Sep,84.36818181818181
1969,Apr,71.01363636363637
1969,Aug,88.1304347826087
1969,Dec,49.91904761904762
1969,Feb,47.926086956521736
1969,Jan,43.3304347826087
1969,Jul,88.60434782608696
1969,Jun,91.17391304347827
1969,Mar,68.58571428571429
1969,May,85.44347826086957
1969,Nov,60.52608695652174
1969,Oct,68.64347826086956
1969,Sep,87.48181818181818
1970,Apr,61.92173913043479
1970,Aug,92.4047619047619
1970,Dec,49.74761904761905
1970,Feb,55.22727272727273
1970,Jan,47.97727272727273
1970,Jul,93.78260869565217
1970,Jun,92.69500000000001
1970,Mar,60.42272727272727
1970,May,81.36086956521739
1970,Nov,60.81428571428571
1970,Oct,77.48181818181818
1970,Sep,82.61363636363636
1971,Apr,70.80909090909091
1971,Aug,96.5142857142857
1971,Dec,48.13809523809524
1971,Feb,55.661904761904765
1971,Jan,55.2952380952381
1971,Jul,95.75
1971,Jun,84.86363636363636
1971,Mar,56.595454545454544
1971,May,83.17142857142856
1971,Nov,54.96363636363637
1971,Oct,77.78421052631579
1971,Sep,80.56666666666668
1972,Apr,70.4
1972,Aug,96.18695652173913
1972,Dec,54.357894736842105
1972,Feb,57.60952380952381
1972,Jan,47.46315789473684
1972,Jul,91.94090909090909
1972,Jun,85.04545454545455
1972,Mar,66.26363636363637
1972,May,86.79565217391304
1972,Nov,54.61818181818182
1972,Oct,73.38095238095238
1972,Sep,85.92272727272727
1973,Apr,70.2
1973,Aug,90.40454545454546
1973,Dec,49.65217391304348
1973,Feb,57.11818181818182
1973,Jan,49.87826086956522
1973,Jul,93.0391304347826
1973,Jun,90.72857142857143
1973,Mar,61.36363636363637
1973,May,88.80952380952381
1973,Nov,54.06521739130435
1973,Oct,68.49090909090908
1973,Sep,89.71249999999999
1974,Apr,71.32000000000001
1974,Aug,92.10434782608696
1974,Dec,51.595000000000006
1974,Feb,50.57826086956521
1974,Jan,50.8
